# {"t_start": 1574517855.5826716, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,2.197697
0.0,129,3.426032
1.0,177,5.140978
5.0,307,8.388391
0.0,127,9.595003
1.0,173,11.387038
1.0,155,13.033425
0.0,129,14.324705
0.0,129,15.558703
0.0,129,16.822579
2.0,201,18.84162
1.0,171,20.580355
0.0,127,21.874942
0.0,127,23.21769
0.0,125,24.493226
2.0,226,26.752931
0.0,127,27.989508
1.0,169,29.673143
0.0,127,30.907177
9.0,403,35.215207
4.0,278,38.060988
1.0,177,39.766334
0.0,129,41.006969
0.0,129,42.240318
1.0,172,43.919662
1.0,159,45.460135
2.0,204,47.472
1.0,174,49.180038
0.0,129,50.423825
4.0,299,53.559049
2.0,202,55.583836
0.0,129,56.834968
0.0,129,58.09269
0.0,127,59.320499
2.0,202,61.361444
0.0,127,62.603192
0.0,127,63.842324
4.0,297,66.860167
2.0,202,68.896056
3.0,250,71.396771
2.0,225,73.665504
0.0,127,74.868049
2.0,184,76.749404
3.0,268,79.565115
2.0,202,81.755707
3.0,250,84.349997
0.0,129,85.641172
0.0,127,86.871387
0.0,125,88.147692
2.0,202,90.141603
3.0,248,92.696306
2.0,227,95.046971
4.0,301,98.112545
2.0,200,100.107852
0.0,129,101.48017
0.0,129,102.791528
1.0,173,104.489438
0.0,129,105.769689
2.0,202,107.822634
4.0,284,110.753359
1.0,155,112.320746
2.0,199,114.309351
1.0,157,115.944659
0.0,127,117.263355
1.0,173,118.97969
1.0,155,120.553977
0.0,127,121.904466
0.0,127,123.153913
1.0,173,124.892292
0.0,127,126.145714
0.0,127,127.360828
1.0,157,128.889769
1.0,157,130.43631
0.0,125,131.67692
1.0,157,133.178911
2.0,199,135.168625
0.0,127,136.421714
0.0,129,137.693093
2.0,204,139.753106
4.0,290,142.749004
0.0,129,144.081427
0.0,127,145.463716
3.0,250,148.180605
0.0,129,149.464027
5.0,312,152.955372
0.0,125,154.325578
0.0,123,155.523878
1.0,173,157.363865
2.0,187,159.40052
0.0,129,160.77071
1.0,175,162.663857
0.0,127,163.899245
3.0,248,166.41097
0.0,129,167.647322
1.0,155,169.194108
3.0,270,172.080917
1.0,177,173.997907
3.0,273,176.90242
0.0,125,178.133844
1.0,155,179.722652
2.0,203,181.823905
0.0,127,183.133032
0.0,129,184.520605
0.0,127,185.82137
3.0,272,188.642711
2.0,183,190.569809
4.0,320,193.956501
0.0,127,195.199307
0.0,129,196.501973
5.0,303,199.934908
0.0,127,201.230779
0.0,125,202.444297
0.0,129,203.734133
1.0,171,205.47523
1.0,174,207.217865
2.0,227,209.647116
3.0,266,212.582273
1.0,155,214.188556
1.0,175,216.037761
3.0,250,218.655434
1.0,171,220.512161
0.0,123,221.800177
3.0,234,224.27449
1.0,155,225.841735
0.0,127,227.081019
0.0,129,228.367658
0.0,127,229.612244
2.0,218,231.810229
0.0,127,233.025277
2.0,183,234.954123
1.0,155,236.554713
0.0,123,237.793026
1.0,173,239.537347
0.0,123,240.741008
1.0,157,242.27785
0.0,127,243.529515
1.0,173,245.35695
3.0,254,248.18827
0.0,129,249.588139
0.0,129,250.966517
0.0,127,252.285475
0.0,129,253.631416
2.0,202,255.866127
0.0,123,257.148729
1.0,175,259.031966
0.0,125,260.263793
3.0,274,263.271908
1.0,155,264.826324
2.0,220,267.07835
0.0,125,268.345573
1.0,177,270.236645
1.0,174,272.125077
1.0,178,273.978839
0.0,127,275.222074
2.0,223,277.579621
2.0,219,279.899913
0.0,129,281.219631
2.0,204,283.379275
0.0,127,284.614924
1.0,172,286.461341
2.0,199,288.596818
4.0,299,291.748944
1.0,155,293.418763
0.0,125,294.706629
0.0,127,296.048368
3.0,230,298.477825
6.0,419,303.119093
0.0,127,304.346521
2.0,222,306.622913
1.0,155,308.178807
0.0,129,309.43832
2.0,200,311.495762
1.0,157,313.093399
1.0,173,314.94925
2.0,201,317.013562
1.0,177,318.985415
0.0,127,320.34155
3.0,270,323.173569
2.0,202,325.402186
2.0,202,327.596307
0.0,129,328.869004
0.0,129,330.141299
0.0,127,331.400095
0.0,127,332.650246
3.0,271,335.516542
3.0,270,338.43339
1.0,175,340.341998
0.0,127,341.727699
3.0,272,344.716509
3.0,231,347.252599
3.0,233,349.648052
0.0,129,350.90664
3.0,252,353.657751
4.0,303,356.87339
3.0,248,359.456413
1.0,155,361.057993
1.0,175,362.841835
2.0,202,364.916383
0.0,129,366.241687
0.0,127,367.458746
1.0,174,369.288248
0.0,125,370.516642
0.0,129,371.824704
1.0,174,373.657486
0.0,129,374.921781
3.0,248,377.525239
1.0,172,379.373505
0.0,127,380.625042
0.0,127,381.970093
0.0,127,383.302424
1.0,173,385.160852
2.0,203,387.338527
0.0,127,388.687697
4.0,301,391.876025
1.0,155,393.473113
1.0,154,395.089411
2.0,220,397.481665
2.0,228,399.893692
2.0,188,401.826597
0.0,129,403.172917
0.0,125,404.457685
3.0,222,406.753745
2.0,227,409.158799
0.0,127,410.464346
0.0,129,411.770384
2.0,203,413.851299
4.0,301,417.018683
2.0,204,419.258752
2.0,202,421.361482
0.0,129,422.692126
1.0,175,424.515759
3.0,251,427.227122
0.0,129,428.582087
0.0,127,429.881076
1.0,177,431.767742
1.0,155,433.360881
0.0,127,434.598921
0.0,125,435.788942
2.0,202,437.828685
3.0,272,440.652398
2.0,203,442.790139
0.0,127,443.983026
2.0,222,446.305307
2.0,202,448.553374
0.0,129,449.934253
1.0,157,451.51236
0.0,129,452.835199
3.0,269,455.68273
3.0,268,458.472013
5.0,350,462.161376
0.0,125,463.341029
2.0,202,465.363426
6.0,360,469.272895
0.0,127,470.542215
5.0,326,474.006671
5.0,330,477.522436
0.0,129,478.866597
0.0,127,480.187484
2.0,200,482.20637
0.0,125,483.486964
0.0,129,484.816287
0.0,127,486.078135
0.0,127,487.409287
1.0,171,489.154106
1.0,177,490.955711
0.0,129,492.26942
14.0,505,497.580629
2.0,199,499.592763
0.0,127,500.809284
0.0,129,502.172644
0.0,127,503.556958
0.0,125,504.819204
5.0,352,508.554628
1.0,173,510.313978
9.0,404,514.654178
0.0,127,515.925257
6.0,382,520.239061
0.0,129,521.494527
0.0,127,522.75695
2.0,202,524.809307
2.0,202,527.022759
2.0,223,529.364203
3.0,230,531.88185
0.0,129,533.213022
0.0,127,534.431389
0.0,129,535.745594
9.0,404,540.23264
0.0,129,541.51099
0.0,129,542.794742
0.0,129,544.083373
0.0,129,545.397177
2.0,198,547.581728
9.0,403,551.827036
3.0,230,554.315392
2.0,202,556.517233
5.0,350,560.236017
0.0,129,561.569217
0.0,129,562.862893
0.0,127,564.085184
0.0,129,565.326922
0.0,127,566.597556
1.0,173,568.496638
0.0,129,569.856266
2.0,204,571.946502
9.0,404,576.270629
0.0,127,577.565069
0.0,125,578.833612
0.0,129,580.088171
3.0,248,582.632471
0.0,125,583.848673
0.0,127,585.099426
5.0,350,588.703429
4.0,297,591.986491
0.0,129,593.225912
4.0,299,596.438093
0.0,127,597.64409
0.0,127,598.848642
0.0,129,600.136651
0.0,127,601.610781
9.0,404,606.02917
4.0,299,609.379613
2.0,200,611.510431
0.0,127,612.813243
5.0,350,616.429331
0.0,127,617.676678
10.0,453,622.719364
0.0,129,624.098247
0.0,127,625.441614
0.0,129,626.806065
0.0,129,628.162296
7.0,320,631.505886
4.0,297,634.665508
1.0,177,636.449648
2.0,222,638.810743
0.0,125,640.126582
0.0,129,641.501654
2.0,202,643.544106
0.0,129,644.791077
0.0,129,646.14908
2.0,200,648.161356
1.0,157,649.674788
0.0,127,650.909537
5.0,352,654.65859
0.0,129,655.951843
7.0,411,660.216953
4.0,299,663.379382
0.0,125,664.583921
5.0,350,668.249423
0.0,125,669.454016
2.0,202,671.546457
0.0,129,672.803078
0.0,129,674.071528
4.0,318,677.567198
0.0,129,678.909109
1.0,174,680.772394
1.0,174,682.577326
0.0,127,683.812832
3.0,250,686.362216
2.0,200,688.374655
0.0,127,689.637301
0.0,129,690.875087
0.0,129,692.140147
0.0,129,693.477512
5.0,350,697.37186
5.0,329,700.937865
0.0,129,702.228762
0.0,127,703.436353
2.0,198,705.419484
0.0,129,706.682321
4.0,297,709.938166
0.0,129,711.219338
0.0,129,712.563099
3.0,248,715.252535
5.0,350,719.141176
0.0,127,720.389433
0.0,125,721.632951
2.0,224,723.899613
0.0,127,725.112427
2.0,200,727.156412
0.0,127,728.494834
4.0,299,731.630443
9.0,382,735.806318
0.0,127,736.993872
10.0,451,741.81802
0.0,129,743.112504
0.0,127,744.357667
4.0,297,747.580016
0.0,129,748.873204
2.0,200,750.993424
0.0,125,752.293925
2.0,202,754.523333
3.0,246,757.010118
2.0,202,759.09575
1.0,175,760.828715
2.0,202,762.954486
0.0,123,764.141536
0.0,129,765.408179
9.0,404,769.777239
0.0,129,771.082297
9.0,404,775.510723
2.0,198,777.582083
0.0,125,778.771857
0.0,129,780.01441
0.0,127,781.277549
0.0,129,782.639655
0.0,129,784.015553
0.0,127,785.315058
5.0,350,789.046089
0.0,125,790.273218
5.0,350,794.032639
0.0,127,795.308926
2.0,202,797.321772
0.0,127,798.603612
5.0,329,802.022941
2.0,202,804.015749
0.0,129,805.284305
5.0,350,809.104463
2.0,202,811.245872
9.0,404,815.50076
2.0,202,817.565221
0.0,127,818.845363
1.0,174,820.627567
0.0,127,821.948821
4.0,297,825.208398
0.0,129,826.541934
2.0,198,828.681932
0.0,129,830.041593
0.0,127,831.309402
0.0,123,832.548152
0.0,127,833.910235
1.0,173,835.708971
0.0,129,836.962624
0.0,129,838.239499
5.0,350,842.071906
0.0,129,843.329103
5.0,352,846.959888
0.0,129,848.340047
14.0,511,853.901783
0.0,129,855.28958
0.0,129,856.650862
5.0,350,860.391027
3.0,268,863.344615
0.0,127,864.637911
2.0,200,866.819106
4.0,297,870.057708
0.0,129,871.312581
10.0,431,876.05666
2.0,202,878.140486
0.0,125,879.315392
2.0,202,881.308883
0.0,127,882.55233
3.0,246,885.12407
0.0,129,886.401304
0.0,129,887.67277
