% time spent exploring,episodes,mean 100 episode reward,steps
96,100,0.2,3105
93,200,0.3,6477
90,300,0.3,9835
86,400,0.4,13727
83,500,0.3,17062
80,600,0.2,19906
77,700,0.3,23194
73,800,0.2,26387
70,900,0.2,29304
67,1000,0.2,32401
64,1100,0.2,35368
61,1200,0.3,38860
58,1300,0.3,42187
53,1400,0.6,46871
47,1500,0.9,52756
41,1600,1.1,59126
33,1700,1.5,67200
26,1800,1.4,74407
17,1900,1.7,82888
7,2000,2.2,93246
1,2100,2.7,104944
1,2200,2.4,115385
1,2300,3.1,128656
1,2400,3.2,141327
1,2500,3.1,153707
1,2600,3.7,167951
1,2700,3.9,183074
1,2800,4.2,199676
1,2900,3.9,214834
1,3000,3.8,229830
1,3100,3.8,244810
1,3200,4.4,261602
1,3300,4.5,278788
1,3400,5.0,296640
1,3500,5.6,316272
1,3600,4.9,334742
1,3700,5.4,354085
1,3800,5.6,374738
1,3900,5.2,393181
1,4000,6.1,413897
1,4100,5.2,432988
1,4200,6.8,455846
1,4300,6.3,478576
1,4400,7.3,502705
1,4500,6.6,525819
1,4600,6.3,547390
1,4700,7.4,569194
1,4800,6.5,591169
1,4900,6.9,614633
1,5000,6.3,635016
1,5100,7.7,659666
1,5200,6.9,682657
1,5300,7.7,707354
1,5400,7.0,730266
1,5500,7.4,755113
1,5600,7.4,778888
1,5700,8.8,806333
1,5800,8.4,831632
1,5900,9.3,856878
1,6000,9.2,882779
1,6100,8.2,908064
1,6200,9.7,937000
1,6300,9.4,963750
1,6400,8.6,988842
