# {"t_start": 1574518072.8127987, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
5.0,350,7.891572
9.0,406,15.432793
1.0,173,18.210047
1.0,175,22.639404
1.0,176,25.409058
0.0,129,27.837446
1.0,173,30.587782
2.0,223,35.34248
3.0,228,38.442606
0.0,127,40.819181
0.0,127,43.26345
1.0,177,45.990054
0.0,127,48.385683
2.0,226,53.093019
0.0,129,55.501223
3.0,272,60.465865
0.0,127,62.904931
0.0,127,65.273624
2.0,202,68.099576
2.0,205,72.715176
0.0,125,73.481311
0.0,129,75.908705
0.0,127,78.348031
2.0,202,82.871249
0.0,129,85.309558
1.0,173,88.025803
0.0,127,90.477784
4.0,301,95.597902
5.0,352,102.857307
5.0,352,108.341367
2.0,202,112.970652
0.0,127,115.405305
0.0,129,117.810696
9.0,404,125.247663
0.0,127,126.003642
0.0,125,128.413529
2.0,202,133.010617
9.0,404,140.627831
9.0,404,148.182446
14.0,506,157.972109
4.0,319,163.264933
0.0,129,165.685128
2.0,198,168.55537
0.0,129,170.975082
2.0,202,175.507149
0.0,125,177.87421
0.0,129,180.352448
10.0,454,188.109433
0.0,125,190.428362
2.0,198,193.275027
5.0,350,200.49409
9.0,404,208.088774
0.0,129,210.525105
1.0,173,213.275805
3.0,246,218.175101
2.0,202,221.092412
0.0,129,223.564128
2.0,202,227.980157
12.0,525,237.931066
0.0,129,240.388859
0.0,129,242.835303
4.0,301,248.083818
2.0,183,250.931517
5.0,350,258.15045
0.0,129,260.607726
0.0,127,262.994428
0.0,129,263.753392
2.0,203,268.18645
10.0,377,275.569285
1.0,155,278.170381
7.0,433,285.862379
3.0,231,290.59846
2.0,204,293.541058
2.0,202,298.06191
1.0,157,300.672443
6.0,367,307.979528
1.0,155,310.512836
0.0,129,312.985026
0.0,129,315.42631
3.0,218,318.488468
0.0,129,320.905731
14.0,618,332.908267
0.0,129,335.391265
1.0,155,338.036061
1.0,155,340.661371
7.0,415,348.260612
0.0,129,350.672909
0.0,127,353.070135
0.0,129,355.380831
0.0,129,357.797398
8.0,299,362.96775
0.0,129,365.425517
7.0,396,372.831961
1.0,155,375.428799
11.0,271,380.391001
9.0,494,390.179868
13.0,534,400.234777
0.0,127,400.98734
0.0,127,403.257267
7.0,248,407.986858
11.0,271,412.770337
11.0,271,417.648304
0.0,129,420.068435
1.0,173,422.761153
8.0,447,432.26704
2.0,204,435.150585
11.0,271,440.151435
11.0,472,449.754427
11.0,271,454.73838
0.0,129,457.19874
8.0,447,465.00915
7.0,394,472.469759
7.0,374,479.757513
0.0,129,482.13528
0.0,129,484.46722
0.0,129,486.847979
0.0,129,487.626633
0.0,129,490.074542
0.0,129,492.503457
0.0,129,494.845729
9.0,328,501.905807
12.0,320,507.272885
0.0,125,509.7278
1.0,155,512.368349
12.0,302,517.625066
4.0,296,522.864218
3.0,252,527.744113
0.0,129,530.143046
12.0,548,540.048881
0.0,129,542.359236
0.0,127,544.764966
12.0,302,549.906221
4.0,265,554.867492
1.0,154,557.468234
3.0,218,562.173342
7.0,248,567.005101
0.0,127,569.380675
12.0,427,576.984699
0.0,129,579.352672
0.0,129,581.725777
5.0,276,586.557948
0.0,129,588.949372
9.0,459,596.707867
3.0,233,601.408138
13.0,369,608.696272
0.0,129,611.149609
9.0,527,621.009719
17.0,350,626.52548
1.0,155,629.08021
1.0,154,631.6997
0.0,125,634.071856
2.0,183,638.500585
0.0,127,639.265986
16.0,602,651.436121
2.0,204,655.986238
1.0,155,658.609034
11.0,500,666.73509
1.0,154,670.970083
2.0,188,673.809466
0.0,127,676.248288
1.0,155,678.810973
9.0,497,688.669716
3.0,233,691.742254
11.0,472,701.109734
8.0,447,708.849314
11.0,271,713.860377
12.0,515,723.490903
0.0,129,725.808403
7.0,248,730.690133
0.0,127,733.105016
12.0,302,738.235159
13.0,316,743.206914
9.0,504,752.813542
0.0,129,755.279206
4.0,267,760.291003
1.0,155,762.889857
0.0,129,765.245748
6.0,365,772.447097
7.0,248,777.233964
0.0,129,779.668408
11.0,271,784.568341
0.0,129,786.834212
0.0,129,787.567787
1.0,173,791.929676
7.0,248,796.789411
13.0,537,806.821918
8.0,444,814.346511
2.0,183,817.216961
1.0,173,821.645984
4.0,259,824.920955
0.0,129,827.257123
9.0,344,834.107769
12.0,498,843.46436
12.0,321,848.850163
1.0,155,851.438003
8.0,279,856.477073
2.0,183,860.935902
7.0,248,864.021985
1.0,155,868.23109
3.0,234,871.347363
13.0,499,880.907838
4.0,286,885.881566
11.0,466,895.288636
1.0,155,897.83127
0.0,129,900.294662
3.0,214,903.184388
7.0,418,910.753702
0.0,125,913.128128
5.0,306,919.881674
7.0,390,925.631083
11.0,271,932.25516
0.0,129,933.01397
0.0,129,935.408757
3.0,216,939.993081
3.0,209,942.924772
2.0,222,947.624483
0.0,127,950.055529
2.0,201,952.942592
2.0,183,957.390843
7.0,347,962.895963
2.0,183,967.335797
0.0,129,969.766006
8.0,446,977.48684
7.0,372,984.530441
14.0,365,990.133358
7.0,424,999.367309
0.0,127,1001.801126
8.0,444,1009.459922
12.0,546,1019.227216
2.0,219,1023.732505
8.0,405,1031.093134
1.0,173,1033.827056
7.0,248,1038.722624
2.0,220,1041.741636
19.0,510,1051.454147
0.0,127,1053.807065
8.0,455,1063.247552
0.0,129,1063.86912
4.0,243,1068.41445
5.0,292,1073.545608
2.0,181,1077.96016
4.0,244,1082.788778
13.0,543,1092.743916
13.0,349,1098.212972
3.0,214,1102.885205
2.0,220,1105.917656
0.0,129,1108.349034
12.0,503,1118.159711
13.0,525,1127.88805
0.0,129,1130.351891
3.0,267,1135.350106
10.0,374,1142.685724
17.0,668,1155.032218
6.0,339,1160.17416
5.0,308,1166.934743
9.0,475,1174.820535
1.0,171,1179.165429
18.0,621,1189.732166
8.0,295,1196.5645
5.0,310,1201.795368
1.0,173,1204.532698
5.0,330,1211.495606
14.0,541,1221.601954
14.0,400,1229.088739
2.0,220,1232.083562
6.0,341,1239.095436
5.0,310,1244.094626
9.0,326,1250.881122
14.0,579,1261.140584
16.0,555,1271.165201
0.0,129,1273.589439
4.0,266,1278.587785
1.0,173,1281.279922
13.0,349,1288.522449
13.0,369,1295.841806
1.0,173,1298.528172
18.0,636,1310.841693
0.0,129,1313.262021
16.0,448,1321.098188
19.0,695,1333.799121
1.0,173,1338.134845
0.0,129,1340.555541
0.0,129,1343.005703
1.0,173,1345.707154
1.0,173,1348.404262
2.0,224,1353.091492
1.0,173,1355.826335
12.0,520,1365.672097
1.0,173,1368.422287
0.0,129,1370.890853
12.0,285,1375.920595
0.0,129,1378.256332
0.0,129,1380.674964
14.0,593,1390.854296
16.0,566,1402.597776
1.0,173,1405.266077
11.0,271,1410.197125
0.0,129,1412.468647
7.0,404,1419.56417
11.0,577,1429.714196
16.0,534,1439.711913
17.0,521,1449.418707
0.0,129,1451.84086
0.0,129,1454.274724
13.0,366,1461.507185
15.0,502,1471.259618
11.0,425,1478.733223
26.0,721,1491.241987
3.0,218,1495.651025
2.0,201,1498.383299
14.0,554,1510.060752
18.0,621,1520.610633
1.0,173,1524.95683
7.0,364,1530.392692
14.0,579,1542.075531
12.0,302,1547.206378
2.0,203,1551.729237
14.0,417,1559.356091
12.0,304,1564.568868
14.0,596,1576.552754
17.0,610,1587.067312
0.0,129,1589.498807
1.0,157,1592.112335
3.0,216,1596.760137
15.0,450,1604.189982
5.0,288,1609.280208
16.0,446,1618.724251
13.0,351,1624.324957
16.0,468,1633.881601
20.0,722,1646.578008
6.0,351,1653.723008
7.0,370,1660.688061
13.0,539,1670.629645
7.0,408,1678.129655
2.0,202,1681.038738
3.0,235,1685.722815
17.0,527,1695.543894
6.0,332,1702.356365
11.0,402,1709.77603
11.0,272,1714.601747
18.0,546,1724.590163
24.0,758,1739.337725
17.0,608,1749.67175
5.0,298,1756.392787
22.0,675,1768.932036
9.0,413,1776.463759
9.0,500,1786.251903
16.0,597,1796.586397
14.0,514,1806.397664
15.0,625,1818.481168
19.0,565,1828.552183
6.0,324,1835.402878
6.0,338,1840.570631
5.0,329,1847.5238
4.0,256,1850.731374
17.0,514,1860.365962
17.0,656,1872.86163
15.0,430,1882.145594
15.0,562,1892.296122
14.0,400,1899.667224
12.0,395,1906.91407
15.0,577,1917.125124
7.0,390,1924.431365
10.0,355,1931.548798
6.0,343,1938.645888
15.0,530,1948.233891
22.0,431,1955.734818
14.0,574,1965.926291
10.0,520,1975.907709
19.0,659,1988.200231
4.0,267,1993.0269
11.0,568,2003.071558
16.0,694,2017.293468
14.0,380,2024.619026
5.0,317,2029.802035
30.0,479,2039.371685
16.0,460,2047.033833
21.0,635,2059.209511
14.0,503,2068.821682
8.0,404,2076.279715
22.0,824,2091.350864
26.0,631,2103.229023
10.0,491,2112.642063
18.0,593,2123.045259
19.0,657,2135.261218
20.0,497,2144.865913
20.0,448,2152.511929
18.0,536,2164.171647
8.0,435,2171.789368
17.0,507,2181.589662
20.0,690,2194.192815
25.0,628,2206.210582
17.0,435,2213.788883
23.0,693,2226.0844
22.0,615,2238.101976
13.0,478,2247.66643
14.0,403,2254.982222
20.0,586,2265.075463
8.0,444,2274.419638
6.0,363,2279.96342
13.0,626,2292.164297
15.0,508,2301.955506
8.0,417,2309.546321
11.0,544,2319.571163
13.0,597,2331.134807
14.0,366,2336.659624
8.0,438,2345.610263
21.0,554,2355.257093
13.0,482,2364.806152
18.0,521,2374.723779
18.0,687,2387.152653
17.0,524,2396.981864
20.0,708,2409.700424
9.0,433,2419.038081
18.0,757,2431.57988
5.0,333,2438.421158
24.0,710,2451.014957
13.0,425,2460.146767
15.0,591,2470.373456
10.0,493,2479.662496
9.0,326,2484.906027
21.0,433,2492.526101
22.0,652,2504.879363
11.0,569,2516.726019
31.0,544,2526.755414
20.0,472,2536.344366
10.0,514,2544.560495
10.0,507,2554.289959
15.0,613,2566.408411
13.0,517,2576.134321
15.0,525,2586.068269
15.0,580,2596.286034
20.0,722,2610.662772
9.0,327,2615.822592
16.0,647,2627.830668
16.0,462,2637.315518
30.0,651,2649.608499
8.0,424,2657.117947
10.0,375,2664.43655
17.0,664,2676.890203
14.0,527,2686.764457
13.0,369,2694.019086
12.0,445,2701.575929
11.0,415,2709.143243
10.0,522,2718.982499
14.0,580,2729.201418
18.0,705,2743.519978
6.0,335,2748.882858
20.0,680,2763.028604
23.0,607,2773.36857
12.0,450,2782.74049
18.0,600,2792.807415
49.0,587,2804.426628
5.0,313,2809.643771
13.0,369,2816.91882
14.0,570,2826.916204
24.0,777,2841.643913
13.0,497,2851.358616
20.0,462,2859.12935
15.0,421,2868.328381
22.0,404,2875.826538
21.0,517,2885.648924
10.0,503,2893.769214
20.0,587,2905.456489
6.0,342,2910.837746
22.0,850,2927.49032
15.0,613,2939.151313
16.0,677,2951.336262
15.0,525,2961.190589
18.0,525,2971.041221
19.0,552,2980.947904
8.0,421,2988.508812
23.0,615,3000.596477
18.0,643,3012.938375
16.0,585,3023.149714
18.0,681,3035.496393
15.0,450,3044.546899
6.0,355,3049.968604
22.0,724,3064.487632
24.0,701,3077.135753
21.0,737,3091.554318
16.0,470,3101.106325
20.0,688,3113.661723
16.0,447,3121.448708
20.0,645,3133.596775
14.0,574,3145.135252
18.0,649,3157.285248
20.0,583,3167.575214
13.0,338,3172.987299
21.0,779,3187.781885
13.0,370,3195.073701
43.0,599,3207.041764
13.0,348,3212.190908
17.0,463,3221.685596
15.0,362,3228.922531
17.0,651,3241.091192
14.0,654,3253.436589
22.0,502,3261.238763
16.0,723,3275.287785
19.0,661,3286.999263
18.0,702,3299.555613
18.0,548,3311.248906
22.0,736,3324.164496
20.0,610,3336.298127
15.0,590,3346.561625
16.0,551,3358.345678
18.0,739,3370.869261
13.0,651,3383.138696
17.0,518,3392.978167
19.0,658,3405.368279
23.0,789,3420.156664
19.0,494,3429.813035
14.0,400,3437.26715
20.0,595,3449.236844
22.0,661,3461.643183
10.0,529,3471.291679
17.0,716,3483.923598
27.0,699,3496.360474
17.0,577,3507.96159
25.0,567,3518.089031
22.0,426,3525.685531
12.0,547,3537.432074
24.0,634,3547.941706
17.0,483,3557.563531
15.0,645,3569.843306
18.0,655,3582.180807
13.0,473,3591.604868
20.0,623,3602.18623
12.0,580,3614.099568
7.0,410,3621.605037
15.0,535,3631.591753
17.0,618,3643.553741
26.0,731,3656.128409
25.0,675,3668.441957
20.0,654,3680.816237
15.0,508,3690.643642
16.0,594,3702.63195
17.0,538,3712.599683
17.0,665,3725.076501
15.0,562,3735.248243
20.0,605,3747.361673
13.0,513,3757.1692
20.0,616,3767.654556
20.0,697,3781.987446
17.0,683,3794.514184
9.0,536,3804.50265
42.0,639,3816.635267
22.0,516,3826.37947
25.0,635,3838.597948
17.0,470,3846.371884
13.0,541,3856.222492
22.0,427,3865.471901
21.0,678,3877.982635
6.0,385,3885.341675
24.0,471,3893.112123
17.0,602,3905.144989
18.0,532,3915.086743
19.0,573,3925.285559
7.0,382,3932.587881
17.0,616,3944.683468
42.0,682,3957.182363
29.0,803,3971.908273
14.0,606,3984.004066
23.0,566,3994.180903
17.0,647,4006.554714
35.0,662,4018.936598
26.0,784,4033.500944
19.0,570,4045.339969
19.0,512,4055.083888
31.0,600,4065.356158
23.0,798,4080.3562
21.0,516,4090.218634
11.0,565,4100.360029
32.0,537,4111.954021
17.0,688,4124.308677
24.0,599,4134.700606
21.0,535,4144.342466
22.0,661,4156.793431
21.0,726,4171.168211
32.0,793,4186.045596
33.0,691,4198.696244
38.0,499,4208.43404
21.0,458,4217.88266
233.0,760,4232.508042
34.0,734,4245.129004
13.0,627,4257.288467
27.0,643,4269.461112
378.0,1002,4288.857679
25.0,535,4298.706448
15.0,459,4306.467094
20.0,615,4318.585418
13.0,549,4328.486713
38.0,602,4340.459651
22.0,546,4350.320952
39.0,576,4360.546059
43.0,648,4372.835196
26.0,669,4385.216261
17.0,518,4395.09662
15.0,639,4407.388938
23.0,829,4422.367715
11.0,524,4432.259732
23.0,797,4447.149769
26.0,839,4463.919259
41.0,731,4477.999437
45.0,1029,4495.97499
21.0,646,4508.193939
13.0,351,4515.315026
21.0,752,4529.809566
15.0,549,4539.848795
14.0,646,4552.1438
14.0,698,4564.4572
24.0,590,4576.522617
23.0,684,4588.823642
16.0,462,4596.372755
