eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,180,0.0013946537,0.064941406,1.3848555,-0.0012501358,0.10364488,-0.021551847457885742,1,128,2.8329106740420684,512
210.33333333333334,2.0,203,0.0004147826,0.0,1.3850689,-0.00084439886,0.055335138,-0.02590346336364746,2,256,5.3459589020349085,1024
226.16666666666666,2.3333333333333335,201,8.233339e-05,0.0,1.385771,-0.00012955721,0.052298777,0.0003625154495239258,3,384,7.885279717040248,1536
226.16666666666666,2.3333333333333335,211,1.385636e-05,0.0,1.3856888,-3.553892e-05,0.0580256,0.036641061305999756,4,512,10.303133071982302,2048
250.625,2.875,204,1.2558516e-05,0.0,1.385894,3.8137892e-05,0.053035963,0.03855395317077637,5,640,12.806248725042678,2560
248.83333333333334,3.0,199,8.9969006e-05,0.0,1.3859808,-0.000698837,0.0559358,-0.09569227695465088,6,768,15.374778417055495,3072
229.75,2.5625,201,0.00012082531,0.0,1.3861516,-0.0007557057,0.043306727,0.06226706504821777,7,896,17.91397946001962,3584
218.44444444444446,2.2777777777777777,201,0.00060604425,0.028320312,1.3845928,-0.0026156828,0.037650958,0.023983299732208252,8,1024,20.454172915080562,4096
209.5,2.0454545454545454,201,0.00017144695,0.0,1.3821979,-0.00057138037,0.035918325,0.0286751389503479,9,1152,23.000934460083954,4608
203.8846153846154,1.9230769230769231,199,8.2504106e-05,0.0,1.3844601,-0.00037552358,0.025839843,0.07246029376983643,10,1280,25.562570548034273,5120
200.03571428571428,1.8214285714285714,204,8.4874286e-05,0.0,1.3841107,-0.00015435234,0.03931138,0.06505483388900757,11,1408,28.063681935076602,5632
198.03125,1.78125,201,0.00051937724,0.0024414062,1.3849609,-0.0025512343,0.029380932,-0.018637537956237793,12,1536,30.604269845061935,6144
195.42857142857142,1.7142857142857142,202,0.00078606803,0.0,1.384682,-0.0018361402,0.032588832,0.03391021490097046,13,1664,33.12928155006375,6656
192.6578947368421,1.631578947368421,201,0.0012761191,0.056152344,1.3775691,-0.0012529618,0.029541148,0.17004114389419556,14,1792,35.66813687898684,7168
194.925,1.7,203,0.0008434937,0.045898438,1.3818322,-0.001005937,0.038877882,0.0735858678817749,15,1920,38.184396527009085,7680
192.4418604651163,1.627906976744186,206,0.0015011466,0.064453125,1.3793358,-0.002087467,0.0111172,0.21593540906906128,16,2048,40.660357180051506,8192
193.17021276595744,1.6808510638297873,201,0.0012009647,0.09277344,1.3662976,-0.0014871787,0.024182074,0.2714223861694336,17,2176,43.19835515401792,8704
191.53061224489795,1.6326530612244898,206,0.0015227536,0.033691406,1.3663282,-0.0002661175,0.03717263,0.34039223194122314,18,2304,45.68228495505173,9216
195.48076923076923,1.7115384615384615,202,0.0011000389,0.02734375,1.3756995,-0.0018129003,0.032108903,0.1287904977798462,19,2432,48.213806840009056,9728
