EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
56.333333333333336,0.7777777777777778,9,9,3.192063093185425,507,0.0,1.3857261,-0.013437151908874512,0.00069159095,0.010067738,0.010067738
42.5,0.45454545454545453,13,22,6.179616689682007,935,0.0,1.3853384,-0.0030747652053833008,0.00049274694,0.0042881886,0.0042881886
43.48571428571429,0.5142857142857142,13,35,9.048771381378174,1522,0.0,1.3855247,0.003929257392883301,0.00061543484,0.0057417373,0.0057417373
40.025,0.425,13,48,11.925922393798828,2005,0.0,1.3849275,0.016892194747924805,0.0004655328,0.0018252246,0.0018252246
34.4,0.325,18,66,14.872463464736938,2557,0.0,1.3832169,-0.00248873233795166,0.0009140991,0.004763769,0.004763769
29.725,0.2,16,82,17.671412229537964,3060,0.0,1.3838626,0.036485493183135986,0.00090504356,0.012844572,0.012844572
28.65,0.15,18,100,20.476584911346436,3539,0.0,1.3848387,-0.0009591579437255859,0.00122369,0.0057245838,0.0057245838
28.5,0.175,16,116,23.411303997039795,4062,0.0,1.3840997,0.019779503345489502,0.00027362132,0.0044510225,0.0044510225
30.35,0.225,16,132,26.31553602218628,4573,0.0,1.3823442,0.012752056121826172,0.0002942732,0.0051937406,0.0051937406
33.875,0.3,15,147,29.107206344604492,5113,0.0,1.3812718,0.0014855265617370605,0.0011686075,0.003465853,0.003465853
32.475,0.225,17,164,32.02306342124939,5597,0.0,1.3814827,0.015131473541259766,0.0012110829,0.003537755,0.003537755
33.9,0.275,14,178,34.89325261116028,6141,0.0,1.3789104,-0.013262033462524414,0.0003425575,0.004568839,0.004568839
35.75,0.325,13,191,37.66020750999451,6635,0.0,1.3816569,0.02309471368789673,0.001024704,0.01378963,0.01378963
34.05,0.3,15,206,40.42991590499878,7108,0.0,1.3777702,0.030750513076782227,0.0012425903,0.010575194,0.010575194
36.8,0.375,13,219,43.292168617248535,7662,0.0,1.3772302,0.03875851631164551,0.00045384432,0.0069102156,0.0069102156
31.8,0.25,20,239,46.10900568962097,8192,0.0,1.3747432,-0.016834497451782227,0.00089530495,0.011182232,0.011182232
32.55,0.25,14,253,49.2977991104126,8701,0.0,1.3762844,0.028392255306243896,0.000858644,0.0014181284,0.0014181284
28.725,0.175,20,273,52.118942737579346,9203,0.0,1.3740184,0.08921343088150024,0.0009393082,0.011198955,0.011198955
32.925,0.3,11,284,54.87032508850098,9717,0.0,1.369306,0.0340268611907959,0.00073131954,0.011068353,0.011068353
34.425,0.325,16,300,57.72588396072388,10233,0.0,1.373117,0.026676416397094727,0.0012118383,0.011306288,0.011306288
38.425,0.425,12,312,60.52178502082825,10717,0.0,1.3752068,-0.00561368465423584,0.001233883,0.01173547,0.01173547
32.15,0.3,18,330,63.33732199668884,11261,0.0,1.3779957,0.03355640172958374,0.001172207,0.0116689745,0.0116689745
35.95,0.4,14,344,66.13445782661438,11763,0.0,1.3760757,0.01597994565963745,0.0009991804,0.01224501,0.01224501
